,video_id,view,action_type,video_start_frame,video_end_frame
0,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,C10095_rgb,assembly,1,11985
1,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,HMC_84347414_mono10bit,assembly,1,11988
2,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,HMC_84358933_mono10bit,assembly,1,11988
3,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,HMC_84355350_mono10bit,assembly,1,11988
4,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,C10115_rgb,assembly,1,11985
5,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,C10390_rgb,assembly,1,11985
6,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,C10395_rgb,assembly,1,11984
7,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,C10379_rgb,assembly,1,11985
8,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,HMC_84346135_mono10bit,assembly,1,11988
9,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,C10119_rgb,assembly,1,11984
10,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,C10118_rgb,assembly,1,11985
11,nusar-2021_action_both_9044-a08_9044_user_id_2021-02-19_083738,C10404_rgb,assembly,1,11985
12,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,C10095_rgb,disassembly,1,11674
13,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,HMC_84347414_mono10bit,disassembly,1,11678
14,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,HMC_84358933_mono10bit,disassembly,1,11678
15,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,HMC_84355350_mono10bit,disassembly,1,11678
16,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,C10115_rgb,disassembly,1,11674
17,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,C10390_rgb,disassembly,1,11672
18,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,C10395_rgb,disassembly,1,11673
19,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,C10379_rgb,disassembly,1,11673
20,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,HMC_84346135_mono10bit,disassembly,1,11678
21,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,C10119_rgb,disassembly,1,11674
22,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,C10118_rgb,disassembly,1,11674
23,nusar-2021_action_both_9064-c09a_9064_user_id_2021-02-22_165525,C10404_rgb,disassembly,1,11674
24,nusar-2021_action_both_9083-b06a_9083_user_id_2021-02-16_113603,C10095_rgb,disassembly,1,10830
25,nusar-2021_action_both_9083-b06a_9083_user_id_2021-02-16_113603,HMC_84347414_mono10bit,disassembly,1,10830
26,nusar-2021_action_both_9083-b06a_9083_user_id_2021-02-16_113603,HMC_84358933_mono10bit,disassembly,1,10830
27,nusar-2021_action_both_9083-b06a_9083_user_id_2021-02-16_113603,HMC_84355350_mono10bit,disassembly,1,10830
28,nusar-2021_action_both_9083-b06a_9083_user_id_2021-02-16_113603,C10115_rgb,disassembly,1,10829
